WlsPositionXEcefMeters,WlsPositionYEcefMeters,WlsPositionZEcefMeters,utcTimeMillis
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710173.5523870806,-4278816.546374498,3863776.049542365,1626295844440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710168.2246652865,-4278808.573665414,3863769.992177961,1626295845440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
-2710172.4971140246,-4278814.57735376,3863773.390725382,1626295846440
