WlsPositionXEcefMeters,WlsPositionYEcefMeters,WlsPositionZEcefMeters,utcTimeMillis
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712004.6837370847,-4269101.80511827,3872907.944018153,1590096122443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
-2712008.9013309525,-4269100.699797112,3872902.643141814,1590096123443
